Title: A Catalog of Morphologically Identified Merging Galaxies
Authors: Hwang C.-Y., Chang M.-Y.
Table: Catalog of Merging Galaxies
================================================================================
Byte-by-byte Description of file: apjs299963t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label  Explanations
--------------------------------------------------------------------------------
   1-  5 I5     ---    ID     Running identification number
   7-  8 I2     h      RAh    Hour of Right Ascension (J2000)
  10- 11 I2     min    RAm    Minute of Right Ascension (J2000)
  13- 16 F4.1   s      RAs    Second of Right Ascension (J2000)
      18 A1     ---    DE-    Sign of the Declination (J2000)
  19- 20 I2     deg    DEd    Degree of Declination (J2000)
  22- 23 I2     arcmin DEm    Arcminute of Declination (J2000)
  25- 28 F4.1   arcsec DEs    Arcsecond of Declination (J2000)
  30- 36 A7     ---    FName  Field name
  38- 39 A2     ---    Type   Merging type (1)
--------------------------------------------------------------------------------
Note (1):
    M = mergers;
   CP = close pairs;
   CM = close multiples.
--------------------------------------------------------------------------------
00258 00 36 01.8 -02 52 57.4 RCS0047 M
00259 00 36 02.1 -00 55 43.3 RCS0047 M
00260 00 36 03.3 +02 38 40.5 RCS0047 M
00261 00 36 04.7 -02 05 28.3 RCS0047 M
00262 00 36 04.8 +01 50 04.6 RCS0047 M
00263 00 36 09.8 -03 05 48.8 RCS0047 M
00264 00 36 10.6 +01 53 09.0 RCS0047 M
00265 00 36 11.7 +01 38 29.9 RCS0047 M
00266 00 36 13.4 +02 56 18.3 RCS0047 M
00267 00 36 13.7 -02 52 12.4 RCS0047 M
00268 00 36 15.5 +01 53 42.4 RCS0047 M
00269 00 36 16.2 +04 18 51.0 RCS0047 M
00270 00 36 16.6 -03 29 58.2 RCS0047 M
00271 00 36 16.9 +04 43 25.0 RCS0047 M
00272 00 36 17.0 -01 55 34.5 RCS0047 M
00273 00 36 19.8 -02 10 34.3 RCS0047 M
00274 00 36 19.9 +02 50 05.9 RCS0047 M
00275 00 36 21.0 +02 38 56.5 RCS0047 M
00276 00 36 22.3 +02 34 26.6 RCS0047 CP
00277 00 36 23.4 -00 54 25.3 RCS0047 M
00278 00 36 24.9 +03 09 07.6 RCS0047 M
00279 00 36 25.4 -00 51 51.9 RCS0047 CP
00280 00 36 25.5 -02 50 05.5 RCS0047 M
00281 00 36 26.9 -02 20 51.1 RCS0047 M
00282 00 36 28.2 +03 11 03.5 RCS0047 M
00283 00 36 28.3 -03 06 53.0 RCS0047 M
00284 00 36 28.7 +02 38 43.8 RCS0047 M
00285 00 36 28.8 +04 41 17.0 RCS0047 M
00286 00 36 29.6 +04 28 40.5 RCS0047 M
00287 00 36 30.6 -01 45 49.8 RCS0047 M
00288 00 36 30.9 +03 04 38.3 RCS0047 M
00289 00 36 34.9 -02 20 06.6 RCS0047 M
00290 00 36 35.4 +01 44 04.1 RCS0047 M
00291 00 36 38.2 -02 03 01.9 RCS0047 M
00292 00 36 38.9 +03 06 04.9 RCS0047 M
00293 00 36 40.4 -02 05 28.0 RCS0047 CP
00294 00 36 41.1 -01 11 59.7 RCS0047 M
00295 00 36 43.7 +03 02 09.5 RCS0047 M
00296 00 36 47.4 +04 59 56.7 RCS0047 M
00297 00 36 47.8 -02 28 39.7 RCS0047 M
00298 00 36 48.2 +01 32 35.6 RCS0047 M
00299 00 36 48.8 -03 10 45.7 RCS0047 M
00300 00 36 49.7 +02 48 50.5 RCS0047 M
00301 00 36 50.6 +03 39 41.2 RCS0047 M
00302 00 36 51.8 -02 43 30.2 RCS0047 M
00303 00 36 52.6 -01 26 49.4 RCS0047 M
00304 00 36 52.9 -02 30 01.9 RCS0047 M
00305 00 36 53.0 +01 53 32.9 RCS0047 M
00306 00 36 53.4 +04 03 56.8 RCS0047 M
00307 00 36 53.7 +03 06 10.9 RCS0047 M
00308 00 36 54.1 -01 26 12.7 RCS0047 M
00309 00 36 55.8 +02 52 30.5 RCS0047 M
00310 00 36 56.1 +01 42 41.4 RCS0047 M
00311 00 36 57.5 +03 55 07.9 RCS0047 M
00312 00 37 01.6 -02 32 32.8 RCS0047 M
00313 00 37 01.8 -03 09 59.0 RCS0047 M
00314 00 37 02.7 -02 21 59.0 RCS0047 M
00315 00 37 02.8 -01 30 39.8 RCS0047 M
00316 00 37 05.5 +04 50 55.4 RCS0047 M
00317 00 37 07.2 +02 50 09.6 RCS0047 M
00318 00 37 08.7 +02 43 29.2 RCS0047 M
00319 00 37 08.9 +03 02 53.8 RCS0047 M
00320 00 37 10.2 +01 38 50.2 RCS0047 M
00321 00 37 10.4 +01 19 56.8 RCS0047 M
00322 00 37 10.6 -03 37 47.8 RCS0047 M
00323 00 37 11.2 +02 25 49.4 RCS0047 M
00324 00 37 11.9 -01 25 37.4 RCS0047 M
00325 00 37 13.0 -02 23 50.0 RCS0047 M
00326 00 37 14.2 +04 42 01.4 RCS0047 M
00327 00 37 14.4 +01 31 38.8 RCS0047 M
00328 00 37 14.5 -03 09 55.1 RCS0047 M
00329 00 37 14.5 -03 14 15.2 RCS0047 M
00330 00 37 16.6 +01 20 13.1 RCS0047 M
00331 00 37 18.2 +04 00 06.5 RCS0047 M
00332 00 37 19.0 -01 06 32.3 RCS0047 M
00333 00 37 20.7 +02 48 13.9 RCS0047 M
00334 00 37 20.9 +01 47 40.0 RCS0047 M
00335 00 37 21.2 +03 48 07.4 RCS0047 M
00336 00 37 21.2 -02 20 26.5 RCS0047 M
00337 00 37 23.3 -01 21 41.9 RCS0047 M
00338 00 37 24.7 -02 36 10.6 RCS0047 M
00339 00 37 26.8 -03 18 11.0 RCS0047 M
00340 00 37 28.1 +04 37 17.1 RCS0047 M
00341 00 37 31.5 -01 38 13.2 RCS0047 M
00342 00 37 35.4 -02 10 30.4 RCS0047 M
00343 00 37 35.5 -00 56 30.0 RCS0047 M
00344 00 37 36.8 +01 38 44.7 RCS0047 M
00345 00 37 38.3 -03 03 34.5 RCS0047 M
00346 00 37 39.1 -03 13 42.6 RCS0047 M
00347 00 37 39.5 -02 19 32.8 RCS0047 M
00348 00 37 40.0 +03 39 50.7 RCS0047 M
00349 00 37 40.6 +01 48 19.8 RCS0047 M
00350 00 37 40.6 -00 53 24.9 RCS0047 CP
00351 00 37 41.1 -02 45 38.9 RCS0047 M
00352 00 37 41.3 -02 48 35.2 RCS0047 M
00353 00 37 41.4 +01 16 58.5 RCS0047 M
00354 00 37 42.5 +02 40 09.3 RCS0047 M
00355 00 37 42.5 -01 52 23.0 RCS0047 M
00356 00 37 44.1 +03 19 24.3 RCS0047 M
00357 00 37 46.0 -00 52 36.6 RCS0047 M
00358 00 37 47.9 +05 12 20.0 RCS0047 M
00359 00 37 47.9 +02 33 58.9 RCS0047 M
00360 00 37 48.4 +05 12 17.0 RCS0047 M
00361 00 37 50.0 -01 07 04.3 RCS0047 M
00362 00 37 50.5 +02 51 59.6 RCS0047 M
00363 00 37 51.9 -03 18 08.0 RCS0047 M
00364 00 37 52.3 -01 42 27.5 RCS0047 M
00365 00 37 52.8 +00 27 34.7 RCS0047 M
00366 00 37 53.1 -01 08 07.0 RCS0047 M
00367 00 37 54.6 -03 04 29.3 RCS0047 M
00368 00 37 55.3 -03 22 51.6 RCS0047 M
00369 00 37 55.6 +00 20 44.7 RCS0047 M
00370 00 37 55.8 +05 11 29.4 RCS0047 M
00371 00 37 55.9 +04 37 46.9 RCS0047 M
00372 00 37 56.7 +05 11 30.1 RCS0047 M
00373 00 37 57.3 -02 37 37.5 RCS0047 M
00374 00 37 57.5 +03 16 01.5 RCS0047 M
00375 00 37 57.5 -01 32 20.5 RCS0047 CP
00376 00 37 59.3 -03 05 08.2 RCS0047 M
00377 00 37 59.8 -03 13 09.8 RCS0047 M
00378 00 38 00.5 +03 36 55.6 RCS0047 M
